"time","lambda_p","p_delta"
39.3160321002506,0.0465015454945198,0.036534395987793
39.4791691629073,0.0464294545883622,0.0366476144211162
39.6423062255639,0.046371580020687,0.037761696015579
39.8054432882206,0.0463137054530117,0.0388757776100419
39.9685803508772,0.0462558308853364,0.0399898592045047
40.1317174135338,0.0462000189674611,0.0408809963316593
40.2948544761905,0.0461557578884653,0.0405236444418876
40.4579915388471,0.0461114968094696,0.0401662925521159
40.6211286015038,0.0460672357304739,0.0398089406623442
40.7842656641604,0.0460238852178924,0.0395873279179482
40.947402726817,0.0459871363118146,0.040349823977526
41.1105397894737,0.0459503874057368,0.0411123200371039
41.2736768521303,0.045913638499659,0.0418748160966817
41.436813914787,0.045879087777258,0.0426395716485788
41.5999509774436,0.0458665188916255,0.0434269221236681
41.7630880401003,0.0458539500059929,0.0442142725987573
41.9262251027569,0.0458413811203604,0.0450016230738466
42.0893621654135,0.0458305314076837,0.0458078439519268
42.2524992280702,0.0458463288758221,0.0469065560763663
42.4156362907268,0.0458621263439606,0.0480052682008057
42.5787733533835,0.045877923812099,0.0491039803252453
42.7419104160401,0.0458947341652716,0.0502057766754859
42.9050474786968,0.0459439568395349,0.051406268251364
43.0681845413534,0.0459931795137982,0.0526067598272421
43.23132160401,0.0460424021880615,0.0538072514031202
43.3944586666667,0.0460916248623249,0.0550077429789982
43.5575957293233,0.0461539940622298,0.054780252668157
43.72073279198,0.0462163632621348,0.0545527623573158
43.8838698546366,0.0462787324620398,0.0543252720464745
44.0470069172932,0.0463411016619447,0.0540977817356333
44.2101439799499,0.0463776112032711,0.0526793227373351
44.3732810426065,0.046413312630267,0.0512236459675538
44.5364181052632,0.0464490140572628,0.0497679691977726
44.6995551679198,0.0464847154842586,0.0483122924279914
44.8626922305764,0.0464791839116436,0.0468654440105374
45.0258292932331,0.0464709921455054,0.0454191651642014
45.1889663558897,0.0464628003793671,0.0439728863178653
45.3521034185464,0.0464546086132289,0.0425266074715293
45.515240481203,0.0464445481953851,0.0436090937727223
45.6783775438597,0.0464343009123708,0.0449444565886683
45.8415146065163,0.0464240536293565,0.0462798194046143
46.0046516691729,0.0464138063463422,0.0476151822205603
46.1677887318296,0.0464199629826348,0.0476869754566611
46.3309257944862,0.046428382228487,0.0475844832334728
46.4940628571429,0.0464368014743391,0.0474819910102846
46.6571999197995,0.0464452207201913,0.0473794987870963
46.8203369824561,0.046446606217453,0.0469532132413027
